Year,Month,Value
1969,10,1.246849105
1969,11,0.244218892
1969,12,1.268593003
1970,1,0.565863946
1970,2,0.353390008
1970,3,1.226096735
1970,4,0.197695866
1970,5,-0.777110251
1970,6,-0.118178309
1970,7,-0.721132663
1970,8,-1.477961356
1970,9,-1.582799751
1970,10,-1.286016244
1970,11,-0.655154886
1970,12,-0.945396799
1971,1,-1.76576632
1971,2,-1.646367902
1971,3,-1.789309984
1971,4,-1.814378709
1971,5,-1.858081673
1971,6,-1.608982763
1971,7,-2.11101397
1971,8,-0.069826216
1971,9,0.374328039
1971,10,-0.105357894
1971,11,-1.081174043
1971,12,-1.793307787
1972,1,-1.849370593
1972,2,-1.72930717
1972,3,-2.200046447
1972,4,-1.8741433
1972,5,-1.87847736
1972,6,-1.905291722
1972,7,-0.858292003
1972,8,0.310750849
1972,9,0.332687022
1972,10,0.227648307
1972,11,0.641836773
1972,12,-0.342437875
1973,1,-0.42809796
1973,2,-0.605019313
1973,3,-0.607190406
1973,4,-0.917909839
1973,5,-1.052452028
1973,6,-1.071922773
1973,7,-0.620549147
1973,8,-1.011754452
1973,9,-0.375210264
1973,10,-0.7612792
1973,11,-1.611331217
1973,12,-0.747550902
1974,1,-1.134089595
1974,2,-1.563428634
1974,3,-1.007908907
1974,4,-0.74857683
1974,5,-0.562955536
1974,6,-0.460785543
1974,7,-0.172495305
1974,8,0.329779702
1974,9,0.613763885
1974,10,0.01573527
1974,11,0.509297479
1974,12,-0.144591977
1975,1,-0.781093777
1975,2,-0.697174055
1975,3,-0.617208369
1975,4,-1.525516518
1975,5,-1.317595962
1975,6,-1.247856218
1975,7,-0.465101896
1975,8,-0.945153465
1975,9,-1.124748566
1975,10,-1.185105274
1975,11,-1.866942712
1975,12,-1.548355724
1976,1,-1.059774686
1976,2,-1.747738119
1976,3,-1.068016682
1976,4,-1.117125143
1976,5,-0.97086928
1976,6,-0.794133123
1976,7,0.458437657
1976,8,1.290736792
1976,9,1.009353545
1976,10,1.236758008
1976,11,1.285599055
1976,12,1.117853272
1977,1,1.531957761
1977,2,0.980042256
1977,3,0.615001021
1977,4,0.068205918
1977,5,0.038717237
1977,6,0.215169271
1977,7,0.074391506
1977,8,0.681813488
1977,9,-0.416851281
1977,10,-0.498910678
1977,11,-0.579418146
1977,12,-0.68160227
1978,1,0.315051129
1978,2,1.29336838
1978,3,1.236114698
1978,4,1.054321675
1978,5,0.640390009
1978,6,-0.034841414
1978,7,-1.233194197
1978,8,-0.459917707
1978,9,-0.302338484
1978,10,0.21755721
1978,11,0.035942859
1978,12,-0.436650207
1979,1,-0.539570324
1979,2,-1.268533458
1979,3,0.194246595
1979,4,0.655891066
1979,5,0.834149037
1979,6,-0.016322104
1979,7,0.668748644
1979,8,0.567640368
1979,9,1.196738121
1979,10,1.186302523
1979,11,0.556632941
1979,12,-0.427228973
1980,1,-0.102970234
1980,2,1.173567215
1980,3,0.985665635
1980,4,1.253536979
1980,5,0.946325317
1980,6,-0.377448648
1980,7,0.11096733
1980,8,0.558125941
1980,9,0.259815243
1980,10,1.478944336
1980,11,0.452494925
1980,12,-0.125749511
1981,1,0.547285219
1981,2,1.302583854
1981,3,0.885486009
1981,4,1.213693918
1981,5,1.507206715
1981,6,1.391145455
1981,7,0.668748644
1981,8,0.244149863
1981,9,0.592943377
1981,10,0.298285986
1981,11,0.859579898
1981,12,0.599685446
1982,1,0.315051129
1982,2,0.1414341
1982,3,0.084049008
1982,4,-0.419871578
1982,5,-0.868890844
1982,6,-0.895989328
1982,7,0.431005789
1982,8,0.443952822
1982,9,1.030174053
1982,10,0.490016829
1982,11,-0.134464804
1982,12,0.213414884
1983,1,0.519417128
1983,2,1.007688679
1983,3,2.007497812
1983,4,1.632046057
1983,5,1.558195933
1983,6,2.01154234
1983,7,3.110184888
1983,8,1.833059109
1983,9,1.103045833
1983,10,1.085391553
1983,11,1.06785593
1983,12,1.560651232
1984,1,1.392617307
1984,2,1.072196999
1984,3,1.666887086
1984,4,1.283419275
1984,5,1.048303753
1984,6,-0.007062449
1984,7,-0.263934865
1984,8,0.044346904
1984,9,0.853199732
1984,10,0.701929867
1984,11,0.774376066
1984,12,0.741003944
1985,1,1.178961944
1985,2,0.823379194
1985,3,0.464731583
1985,4,-0.0413625
1985,5,-0.277415915
1985,6,-0.007062449
1985,7,0.879059631
1985,8,0.84355874
1985,9,0.613763885
1985,10,0.409288053
1985,11,-0.607819424
1985,12,0.326469683
1986,1,1.03962149
1986,2,1.440815968
1986,3,2.07762355
1986,4,1.31330157
1986,5,0.905533943
1986,6,0.650373056
1986,7,1.162522266
1986,8,0.282207569
1986,9,0.384738293
1986,10,1.125755941
1986,11,1.77788786
1986,12,1.636021098
1987,1,1.745613124
1987,2,1.569832607
1987,3,1.997479849
1987,4,1.920908249
1987,5,1.609185151
1987,6,0.502218576
1987,7,1.738591492
1987,8,2.765472918
1987,9,2.695814726
1987,10,1.489035433
1987,11,1.493875088
1987,12,1.164959438
1988,1,0.863123582
1988,2,1.099843421
1988,3,1.316258398
1988,4,0.705694892
1988,5,0.946325317
1988,6,0.511478231
1988,7,0.485869525
1988,8,0.253664289
1988,9,-0.229466705
1988,10,0.01573527
1988,11,0.083278321
1988,12,-0.436650207
1989,1,-0.883276777
1989,2,-0.982853757
1989,3,-0.93778317
1989,4,-0.549361526
1989,5,0.201882734
1989,6,0.159611341
1989,7,0.659604688
1989,8,0.158520023
1989,9,0.207763972
1989,10,-0.004446924
1989,11,-0.371142114
1989,12,-0.229383076
1990,1,-0.279468143
1990,2,-0.64188121
1990,3,-0.727405957
1990,4,0.038323622
1990,5,0.171289204
1990,6,0.233688581
1990,7,0.147543154
1990,8,0.177548877
1990,9,0.55130236
1990,10,-0.579639454
1990,11,-1.497726109
1990,12,-2.132472183
1991,1,-1.877238683
1991,2,-1.139516819
1991,3,-0.847621507
1991,4,-1.236654326
1991,5,-0.797505938
1991,6,-1.534905523
1991,7,-0.190783217
1991,8,0.415409542
1991,9,0.832379224
1991,10,0.611109993
1991,11,0.499830387
1991,12,0.05325392
1992,1,0.045659584
1992,2,0.242804317
1992,3,0.564911209
1992,4,0.516440353
1992,5,1.293051999
1992,6,0.992980291
1992,7,1.638007977
1992,8,1.442967618
1992,9,1.019763799
1992,10,1.055118262
1992,11,0.982652099
1992,12,0.467788181
1993,1,0.045659584
1993,2,0.132218626
1993,3,0.655072871
1993,4,0.974635553
1993,5,1.894724772
1993,6,1.99302303
1993,7,2.049485995
1993,8,2.632270946
1993,9,1.779712356
1993,10,1.539490918
1993,11,1.276131963
1993,12,0.976534774
1994,1,1.123225763
1994,2,0.500837596
1994,3,0.695144721
1994,4,0.815263309
1994,5,0.976918848
1994,6,0.252207891
1994,7,-0.044479921
1994,8,-0.67874952
1994,9,-1.260081871
1994,10,-1.215378565
1994,11,-1.753337603
1994,12,-1.717937922
1995,1,-0.455966051
1995,2,0.381036431
1995,3,0.645054909
1995,4,0.596126474
1995,5,1.211469251
1995,6,1.002239946
1995,7,1.464272813
1995,8,0.272693143
1995,9,1.363302188
1995,10,0.590927799
1995,11,-0.162866081
1995,12,0.119202552
1996,1,0.547285219
1996,2,0.648285184
1996,3,0.905521934
1996,4,1.223654683
1996,5,1.94571399
1996,6,0.844825811
1996,7,0.604740952
1996,8,-0.060311789
1996,9,0.405558801
1996,10,-0.216359961
1996,11,0.187416338
1996,12,-0.059800879
1997,1,0.212868129
1997,2,0.215157894
1997,3,0.544875284
1997,4,0.815263309
1997,5,1.588789464
1997,6,2.38192854
1997,7,2.049485995
1997,8,2.727415212
1997,9,2.435558371
1997,10,1.741312859
1997,11,1.162526854
1997,12,0.599685446
1998,1,0.770229945
1998,2,1.394738597
1998,3,1.907318187
1998,4,1.034400144
1998,5,0.436433137
1998,6,0.196649961
1998,7,-0.135919481
1998,8,-0.136427202
1998,9,-1.103928058
1998,10,-1.286016244
1998,11,-0.390076299
1998,12,-0.44607144
1999,1,-0.29804687
1999,2,-0.651096684
1999,3,-0.436885044
1999,4,-0.639008413
1999,5,-0.97086928
1999,6,-1.377491388
1999,7,-0.702844751
1999,8,-0.840494772
1999,9,-1.437056192
1999,10,-2.133668393
1999,11,-1.838541435
1999,12,-1.567198191
2000,1,-1.858659956
2000,2,-0.807759746
2000,3,0.184228633
2000,4,0.118009744
2000,5,-0.328405133
2000,6,-0.581161058
2000,7,-0.702844751
2000,8,-1.059326585
2000,9,-1.13515882
2000,10,-1.195196371
2000,11,-0.399543391
2000,12,0.458366947
2001,1,0.556574582
2001,2,0.224373369
2001,3,0.344516033
2001,4,-0.539400761
2001,5,-0.583351223
2001,6,-0.608940023
2001,7,-1.297201889
2001,8,-0.659720666
2001,9,-1.270492125
2001,10,-1.26583405
2001,11,-1.090641136
2001,12,-0.907711867
2002,1,0.250025583
2002,2,-0.632665736
2002,3,-0.537064669
2002,4,-0.549361526
2002,5,-0.919880062
2002,6,-0.497824163
2002,7,-0.382806292
2002,8,0.643755781
2002,9,0.603353631
2002,10,0.540472314
2002,11,1.531743458
2002,12,1.946921793
2003,1,1.94068976
2003,2,1.569832607
2003,3,1.406420061
2003,4,0.944753257
2003,5,0.630192165
2003,6,0.455920301
2003,7,0.778476116
2003,8,0.910159727
2003,9,0.166122955
2003,10,0.954207292
2003,11,0.594501311
2003,12,0.279363517
2004,1,0.398655401
2004,2,0.399467379
2004,3,0.504803434
2004,4,0.337146579
2004,5,0.619994322
2004,6,-0.136697619
2004,7,0.302990405
2004,8,0.881616447
2004,9,0.936481766
2004,10,0.005644173
2004,11,-0.494214315
2004,12,-0.191698143
2005,1,0.407944765
2005,2,0.703578029
2005,3,1.256150623
2005,4,0.795341779
2005,5,1.619382995
2005,6,0.909643396
2005,7,0.504157437
2005,8,0.310750849
2005,9,-0.323158993
2005,10,-1.215378565
2005,11,-1.317851353
2005,12,0.156887485
